wallet,balance,tea_flag
0x68f6f2db8d5d28fb7d837675781c2d391f5f02c0,1,1
0x3e0cf03f718520f30300266dcf4db50ba12d3331,5,1
0x1d1874f9bcea4400a6a3ed85353bf19a764534e5,1,1
0x4daa278b8f90b86fb70859051911003790f4de57,3,1
0xc710f3da5ea5ae7b060166942185458c60c0434f,3,1
0xeaa24cde31a65ac72dff0ea673735d70625cf78a,5,1
0x9ba961989dd6609ed091f512be947118c40f2291,3,1
0xd3dbe133af71345a9a69894db354161ea7f441e9,5,1
0x358d930d71fa424ba4fee2a48a2e87fda55993e1,5,1
0x0e272eceadbf50541f0a5c740082f177baf214d4,5,1
0xf28b06d1fcd6b06e493fc8dedac3f780652c7bbe,1,1
0x703fbd74399f71103604e3c7ea9f54cbb43f718a,2,1
0xca8d84565a4e5d721ce0bb50f3374e2afc8bba49,1,1
0x2ccbab93519cd2f2f89ba7133d394de39725e270,2,1
0x0eafb78d216a4d9ae725d3ef087143808695445c,5,1
0xfb9da2a1da334cfa85385a415e0668d0a4f1cfcc,1,1
0xcf2b46eec11927951aba257ed877786924fa28e6,4,1
0x91ab8278d8e018b79657c9c0d9abc876be4f9787,2,1
0x1e382a144bf9ed07e64d9b6d7bc57213c0ad9900,2,1
0x578be284ba9d6f443fa070c5f9937a6554aab1a1,1,1
0x0a412418c71c80a882ca276acdd85e8be791857d,3,1
0x3d6ced303f03c0f5f30164bc4969914a0232a665,1,1
0x4f766bfd800e0ff3260635fdd5fe8cfb666828d1,2,1
0x22358b377c4ae6a5ed9d584ed94a1458af6d32bc,1,1
0x28ddb1f987f1d433eb82eef644b006741977f456,5,1
0xe67c56c3d836c29cc7820ff52f28904503f7ae54,1,1
0x456348964c2db1edd67450b920c7e7ab01425c5f,3,1
0xe767cbb6a71602117a104f60937fcba4ab0a23e8,1,1
0x033e64537940e0602e8f27f571d93904c0009486,5,1
0xcf653e70110315ddb9a11ae4fc36c6716e367a14,4,1
0x4fbfadf58cf32e7c616ed09d74318fe30c7071d4,5,1
0x839551ad5cd3a17061eb11a3fbb6141293eb92a2,2,1
0x28cd26d85b4ac655a489aa3f259f81283bd1a804,1,1
0xca0b4fa6acd64026b6695baf0feaf1154d110909,2,1
0xdf26c161c73d4d02d53ad21863df8623db38f1ce,1,1
0x562f8727a58602a50f3839d67f3a401330ab27b6,1,1
0x6e40ce9003893e3642e9c2d2a93081c805881bb5,1,1
0x27cdf5ca6cd49abd44fa030decf743b730310443,5,1
0xd6c197afb2d3f0c2549bb542b49ed089faca780f,5,1
0x6ac0c22198d53682277c57a53602dc0e0d95b840,2,1
0xf208034ea8566224f8b1d161451d05348e0a53c2,1,1
0x224aba5d489675a7bd3ce07786fada466b46fa0f,1,1
0x89c4efdcea57e9a74e94cc15890e9193d8c7a0bb,3,1
0xc6837f9d06d95fa90cf91a6dd6bb8cb51bfcfc59,1,1
0x538434a71701b5b834d7684b11e5cc5780cde21c,4,1
0x4c804dad55f6c3b9c690ef18de77aa535f925aaf,1,1
0xfcbc07905fee2d64025461b8ddb27f77f256827f,2,1
0xb9eb8b4cbdadbf0ed7a3e65b10f8a31b4a7671ef,2,1
0xa8467ff6e714b62b6fa3ec9d666c2b1657a53aaf,2,1
0xb41ce218c36c7d95059bb21f82a6a720546cef29,1,1
0x9a45b87f12e9bb97d0741b49667e4578f887d4af,2,1
0x560fbf887a1c98ae68ce71f018772d771d067781,5,1
0x747e999e365be31a7df3448d5615a004e558b09a,1,1
0xe18d2f0c230805cc535eb264d11fffd07d781aa7,2,1
0x88244475fbda5a3dc68e505689f5d2caeed1fc91,3,1
0xb14a817e75945b7ac319063bf04b24bd469dd272,1,1
0x30518e38c70a5f686b38eedad342aa2c943d7c6b,2,1
0x6e81007ebf868c0fd8290c4edb7812639d460341,2,1
0x62fa674c88351866ad3385c265613ec45fed571d,1,1
0x6897abe0fd62b589260784b21f4ca3f78a0d8017,4,1
0x4aed006c0235312a56da3bce1dab9cae0f3f95a9,2,1
0xed83f43e646313b3828a552cb31e3990d3dc9753,2,1
0xf20735fd215c2d5d68ebd0d6d0415a08fc3303ea,1,1
0xb617f96eca626ff094169ac160452c082af23284,3,1
0x35b2a533f02234342d9352fb9fbc1ee0c1703198,5,1
0x0cb0f554a2e8a5b7b5634f37840b037214925815,5,1
0x1cbbe9fc5520aae025945e23578d488eb5548922,3,1
0x18c5a9d555d197c9c42e63ca646716efdc20c676,4,1
0xb0fb5cb37b834a9b6d1df88f909690003a711406,1,1
0xd1a317989c846e42f64128daebd975f857068a8c,4,1
0x9f771f779b88178de06291a2caa8e4bdc56dc184,4,1
0x0e5c4c325ba0cf3ebc82f0b15c318d6620e896a7,5,1
0x0a23aaa56d700701b69580f574d35850a4127bd9,1,1
0xfd2edf4bed195070a6af7f60662ec2eacf7391b6,1,1
0xfc0bbfe1e6391ad733b0016d41e50cfa2725717e,3,1
