totalReceived,sumOfSqrt,matched,matchedUSD,projectName,payoutAddress,contributionsCount,projectId,applicationId,revisedContributionCount,revisedMatch
4.72E+20,62249162463,3.40E+21,3400.869003,Commons Stack,0x8110d1D04ac316fdCACe8f24fD60C86b810AB15A,29,0xe6424ab2ed95b21ba758a64a72e3a4583a01cad6b12419420ae7286c70ecae83,22,29,3.40E+21
2.71E+20,50978486818,2.33E+21,2326.76347,ITU Blockchain,0xBEC643BD5b7F5e9190617CA4187ef0455950C51C,26,0x4cd41869f9b2d95c05e2cb13643f1ab7ae05ebd439349c0024aeba44a249b1d8,25,26,2.33E+21
1.95E+20,42101615077,1.58E+21,1576.336421,Bonding Curves Research Group,0x9b55D80Af9dd8D23C372915Ad55c010799010b4d,20,0xe8249a10575570ac6d76202cff5c1e127d72359ad7235bb61039c125402263aa,14,20,1.58E+21
2.91E+20,42317169239,1.50E+21,1498.591684,TE Barcamp as a Side-Event of EthCC Paris 2023,0xA26d6AEB775a9528c012B748ACe66E3B0FD574cE,18,0x64a30a4b92a54a2ad5b7cb48106104d3eb1ca743dd095834b8fdf3fb18ef380d,19,18,1.50E+21
1.03E+20,33715918017,1.03E+21,1033.333277,cadCAD: Computer Aided Design for Complex Systems,0x5041A1C1DCC760337e99B03DB60FeAF5f6f6c802,24,0xa9bdf73843d882ce496bae1a489c905e26339d987c08a074c26defddb463c924,29,24,1.03E+21
9.51E+20,43557208912,9.46E+20,945.6555186,Token Engineering Knowledge Commons,0xbbD107D7717F9D8556aa0abd444Bc8AE6e288956,10,0x233875674213fdf6a86f91602122ef1176b9ccf282182c1cfe6943509a26f6e8,9,10,9.46E+20
1.62E+20,33056938465,9.31E+20,930.3016384,EVMcrispr,0x0035cC37599241D007D0AbA1Fb931C5FA757f7A1,19,0x97589cd10d5be47bef0513d22cbd9ecb9ce06ec6f9baf2369ff1758b6572d525,7,19,9.31E+20
7.42E+19,30332871551,8.46E+20,845.4079248,Towards an Industry Standard Python Library for Token Engineering,0x808DB7C11EeF7aed8314bcCe208239bf9358f36C,24,0x8d6f0c7bda15baeb4e11fd284ad7a186def0a60a4559d34f127b66dd76bbf83d,3,24,8.46E+20
4.99E+19,21207449596,4.00E+20,399.5889446,Token Launch Simulator,0x45b79C6bbE15363E87C948823cca846f1baDB280,17,0xec0268451dd3c3ef3b527ef6478f0e89eb4741103ce75045f16951d285f1e84a,16,17,4.00E+20
1.19E+20,20811181179,3.14E+20,313.8209022,Index Wallets,0x4f8c531df3d97c6Cd437aC8DfE756975445D1161,13,0xf1f4942df7878a8626d441ae1b9e40f9dd6e67b66bd88138c9285451d871412f,24,13,3.14E+20
4.99E+19,18803626242,3.04E+20,303.4925275,Research on a Utility Token for TE Ecosystem,0x7e1F8358943580724290277167B86ab4734752fE,10,0x72b0d6a64bd0773fe79949ee829215569ebfd2c58aa19e9f38e6c3bed8679156,17,10,3.04E+20
6.56E+19,17469843431,2.40E+20,239.4796971,Oxcart Applied Research,0x75D923fBbC9d224ad4a92c370dCC60043010648f,15,0xdd9b885de249b8da5ea670b7d2effafae15def2aae0a69a7166f3905ab7fba78,13,15,2.40E+20
3.61E+19,14066272038,1.62E+20,161.7019171,DeFinomics Labs,0x9390fA8656A161442928b442300358D82bEC28b0,7,0xc401c980df990c4153febcf89b1b78428be1e1f5020d1c72d21b9c818f5ab2a5,6,7,1.62E+20
3.27E+19,12168620826,1.15E+20,115.2735317,Tokenomics Design Space,0x9bcF35BD44Cd5902bfa0738b7B2de12d09CC2DC9,8,0x5351510d27a8f718634daa6d1311fcaac5c59830f2b2b79556bd22c4c5461de5,2,8,1.15E+20
2.49E+19,9332806553,6.22E+19,62.15940658,Token Research Collaborative,0x69e001B7E99a3454f9Cb90Fe4E408002B25b6b3a,7,0x10b3f00e5a651dccd26a73d2d2fd34a532a1bb258fbb232011cfd0edf93ff7a7,28,7,6.22E+19
1.46E+19,7203966252,3.73E+19,37.29187022,Burn-and-mint tokenomics,0x7f3eb18E46bC6350722f981e8750DE6d0655509a,5,0xcf3165f4f416d25de13b505ff4e66c217b2be50c99a89314466eb7bcc5c3eabb,10,5,3.73E+19
