,project_name,normal_matching_base_voters,normal_matching_squelched_voters,cluster_matching_squelched_voters,stamp_matching_squelched_voters,poap_matching_squelched_voters,word_matching_squelched_voters
2,Commons Stack,7500,7500,7500,7500,4497.623549991045,4790.868664288918
13,SymVal,4555.842647248721,2637.8372080838276,1770.9288229783026,2488.631982494611,1696.589027263374,2080.1536209606784
0,Bonding Curve Research Group (BCRG),4194.6707036378875,3711.019850123436,3216.563899080064,3690.4536939094587,7377.86271191557,7245.141744770029
10,Metagov,4056.3728409608043,3490.5086938173713,3081.902963886194,2995.8094889892254,5266.243304615984,5053.531969068919
18,cadEVM,3309.4699321995736,4831.107304707921,4275.56968594677,2926.492947831481,936.0794095317113,1174.7074744511
1,Breadchain Cooperative,3277.142444408536,4098.144529032777,2768.406609723605,4906.226455623354,7500,7500
4,EVMcrispr,3260.2175006324633,4427.511732861176,4818.549935606032,3139.872898492385,928.2251792509416,1060.4750718630198
8,LunCo - collaborative systems engineering,2923.0189409898326,1306.737623956505,1435.9640503381506,1894.0335141169967,1369.0997436035314,1229.6668821923352
17,cadCAD: Computer Aided Design for Complex Systems,2744.68584677805,2847.041990281455,3926.112559626067,2991.662030129896,2936.6321403260663,3020.186402188552
3,EIP-7265 Alliance - securing the future of ethereum,2651.4455333565825,3573.81993812507,3862.316866249509,2957.791015789814,2022.1391996261634,2127.102406328139
16,TurtleShell,2643.836623670384,3425.0065715383666,3326.310761237606,2599.683949921885,1072.4609076111688,1014.0563659680198
11,PlaceCred: Exploring SourceCred for Place-based Reputation,2380.0477268327304,1657.5466250936706,2095.9557431002195,2078.39709544486,2308.3669147672376,2314.945149850598
9,Mechanism Institute,2077.630720459431,2065.555130771038,2474.9790904823285,2192.44063890021,1568.1993274256872,1393.33130243141
6,Index Wallets,1309.3017146492132,1412.7085913508226,1604.3152271373542,2135.409089757888,1815.0216417496981,1903.2253719959601
12,Public Nouns Operations,1155.9718831805349,1024.5269323015434,1358.0875725787614,1446.8008957436632,2194.4886480674863,2289.210248145139
7,KaliBerger,879.3463313090521,997.9161469025204,1389.0244789666854,1450.929870397039,1980.8904785723416,1654.7290803694489
19,tokensight,470.9119212962666,432.2130862009462,281.57356107009207,655.5120018310658,128.31256208511013,153.34417652891565
5,Ecofrontiers: Crypto Natural Capital Aggregator,261.7405179318831,120.65135549203005,175.00492193371514,512.0759879553499,777.6763473601956,909.0424546892775
15,Token Engineering Governance Education,238.86467058706938,291.2808780693585,422.5032294036633,839.4381759545388,2281.235400146487,1571.3944445143322
14,TE Career Builder for Womxn in Web 3,109.48149987098934,148.86581129015707,215.93002065487826,598.3382667162801,1342.8535060901993,1514.887169395217
