Grant Name,Grant Address,Base Voters,Base Crowdfunding,Eligible Voters,Eligible Crowdfunding,Normal QF Matching,Normal QF Matching (Base Voters),Cluster QF Matching,Cluster QF Matching (Base Voters)
Bonding Curve Research Group (BCRG),0x29567bdbcc92acf37ac6b56b69180857bb69f7d1,261,659.31812674,86,371.41665907000004,5000.0,5000.0,5000.0,5000.0
Commons Stack,0x8110d1d04ac316fdcace8f24fd60c86b810ab15a,132,514.00400629,53,194.60323073,3103.8304804836403,3260.3333910758856,3676.5299747461595,5000.0
DataBites,0x80b1b27e94ddbd687f5200dd48c408d7e5f53740,205,345.45400442,52,118.34175649000001,2202.2343404468643,5000.0,623.9540813482834,772.1486939134122
Dynamic Optimization Algorithm for Self-regulating Tokenomics,0x4c1a316de360e08817eb88dd31a0e7305005fb65,95,168.37345403,24,46.65928386,414.8600732126323,1153.1885605713658,283.5695089304754,710.9681578782996
EVMcrispr,0x0035cc37599241d007d0aba1fb931c5fa757f7a1,91,229.59242858,46,130.42825656,2057.777581446578,1381.4993145326073,1752.989854883542,2035.2960124972856
HarbergerToken - A Decentraliazed Infra for Sustainable Funding of Open Source Proj.,0xd43d2f8c0d8844154583e20fbaa30ed1c1cccdba,35,103.92406082,16,58.32027599,248.0600373165138,210.7859892947442,421.66662116263814,615.7683087362333
Index Wallets,0x4f8c531df3d97c6cd437ac8dfe756975445d1161,188,308.6222288,51,103.42428246,1889.566700505969,4298.080578781188,869.6574946835148,1128.2032658077705
Programmable Quantitative Token Model,0xfa2ba43521c72cc5594d725373b0c03fa3661922,42,619.4512611600001,20,539.5889389299999,937.7056783697732,511.12878290592545,1870.3640349995976,1434.6000246364467
Retroactive Thank you to Volunteers at Token Engineering Barcamp (EthCC Paris 2023),0x65f1303c261e34b7b99f0136ccbd58dedf6cefe9,42,603.91343155,23,559.19699106,2438.070404869969,855.4202665650342,3835.6086125087236,2437.6558373144326
SymVal,0x97d25ce39d27fbafc60c3bf50f2675c0eed71b5c,46,170.76652511,27,139.54458381,867.6859401036032,374.09007048937605,456.66269238341147,423.6152911358355
TE Career Builder for Womxn in Web 3,0xa1f01e5cc9562ed061b0e3dddd3e82ef69a1cebd,41,441.30524125,23,395.44933086,1448.8320138212832,544.8855047029351,1797.0011978304626,1204.1154167549773
Towards an Industry Standard Python Library for Token Engineering,0x763d7d362b59aea3858a92a302e18cd41b1252d4,46,140.70178759,22,103.88483615999999,618.0789677811022,358.56358189848606,1185.9927597730164,1047.5154079732283
TurtleShell,0x99d5ce23335bffc8289f67eb2723270776f2785e,83,192.21235686,51,131.77243847,2287.0978642353434,1073.5509447375962,1283.7827678862398,1207.8116863945322
cadCAD: Computer Aided Design for Complex Systems,0x5041a1c1dcc760337e99b03db60feaf5f6f6c802,79,198.31471488,38,127.87017703000001,1486.1999174067248,978.4730144448544,1942.2203988639335,1982.3018969575467
