id,projectId,applicationId,roundId,token,voter,grantAddress,amount,amountUSD,coefficient,last_score_timestamp,rawScore,threshold,balance_tec,tec_tokens_flag,balance_tea,tea_flag
0x24a5bbf1,0x64a30a4b,19,0x9E669c0A,0x00000000,0x9ba96198,0xA26d6AEB,5000000000000000.0,9.18433236,1.5,2023-04-25 13:48:59.888771+00:00,28.57,15,,,3.0,1.0
0x3dce13bb,0xc401c980,6,0x9E669c0A,0x00000000,0x9390fa86,0x9390fA86,2200000000000000.0,4.09456656,1.0,2023-04-25 16:55:55.447871+00:00,27.21,15,,,,
0x4cf20243,0x97589cd1,7,0x9E669c0A,0x00000000,0x5136cdfc,0x0035cC37,4e+16,74.44666476,1.0,2023-04-25 17:25:19.667155+00:00,28.57,15,,,,
0x2b032f10,0xec026845,16,0x9E669c0A,0x00000000,0x524cb61b,0x45b79C6b,3000000000000000.0,5.58349985,1.0,2023-04-25 17:07:33.303578+00:00,23.56,15,,,,
0x0842753b,0xa9bdf738,29,0x9E669c0A,0x00000000,0x524cb61b,0x5041A1C1,3000000000000000.0,5.58349985,1.0,2023-04-25 17:07:33.303578+00:00,23.56,15,,,,
0x9b3b977e,0x4cd41869,25,0x9E669c0A,0x00000000,0xbc6940bc,0xBEC643BD,1200000000000000.0,2.24373909,1.0,2023-04-25 15:24:59.600194+00:00,24.11,15,,,,
0x1112f6c1,0x97589cd1,7,0x9E669c0A,0x6B175474,0xa2a2602b,0x0035cC37,1.2e+18,1.20100375,1.0,2023-04-24 22:16:10.688415+00:00,41.42,15,,,,
0x67d76b4e,0xe6424ab2,22,0x9E669c0A,0x6B175474,0xa2a2602b,0x8110d1D0,1.2e+18,1.20100375,1.0,2023-04-24 22:16:10.688415+00:00,41.42,15,,,,
0xd6ec3923,0xdd9b885d,13,0x9E669c0A,0x00000000,0x3e31155a,0x75D923fB,2000000000000000.0,3.72995,1.5,2023-04-26 00:23:22.857289+00:00,39.85,15,191.3503789310068,1.0,5.0,1.0
0x0bf4e197,0x5351510d,2,0x9E669c0A,0x00000000,0x3e31155a,0x9bcF35BD,2000000000000000.0,3.72995,1.5,2023-04-26 00:23:22.857289+00:00,39.85,15,191.3503789310068,1.0,5.0,1.0
0x899e966d,0xa9bdf738,29,0x9E669c0A,0x00000000,0x3e31155a,0x5041A1C1,2000000000000000.0,3.72995,1.5,2023-04-26 00:23:22.857289+00:00,39.85,15,191.3503789310068,1.0,5.0,1.0
0x9a16cff8,0x8d6f0c7b,3,0x9E669c0A,0x00000000,0x3e31155a,0x808DB7C1,2000000000000000.0,3.72995,1.5,2023-04-26 00:23:22.857289+00:00,39.85,15,191.3503789310068,1.0,5.0,1.0
0x9434f150,0x23387567,9,0x9E669c0A,0x00000000,0x3e31155a,0xbbD107D7,2000000000000000.0,3.72995,1.5,2023-04-26 00:23:22.857289+00:00,39.85,15,191.3503789310068,1.0,5.0,1.0
0x43380ed4,0xe8249a10,14,0x9E669c0A,0x00000000,0x3e31155a,0x9b55D80A,2000000000000000.0,3.72995,1.5,2023-04-26 00:23:22.857289+00:00,39.85,15,191.3503789310068,1.0,5.0,1.0
0xfa44e371,0xec026845,16,0x9E669c0A,0x00000000,0x3e31155a,0x45b79C6b,2000000000000000.0,3.72995,1.5,2023-04-26 00:23:22.857289+00:00,39.85,15,191.3503789310068,1.0,5.0,1.0
0xcdb40f30,0xc401c980,6,0x9E669c0A,0x00000000,0x56c246b0,0x9390fA86,5000000000000000.0,9.33301146,1.0,2023-04-25 18:59:56.208391+00:00,25.02,15,,,,
0xf4b7bb0d,0x4cd41869,25,0x9E669c0A,0x6B175474,0xa2b16c27,0xBEC643BD,1e+18,1.00096975,1.0,2023-04-26 02:29:46.064585+00:00,35.45,15,,,,
0xfb481352,0xc401c980,6,0x9E669c0A,0x6B175474,0xa2b16c27,0x9390fA86,1e+18,1.00096975,1.0,2023-04-26 02:29:46.064585+00:00,35.45,15,,,,
0x180cc8b0,0xe8249a10,14,0x9E669c0A,0x00000000,0xcf7c21de,0x9b55D80A,5e+16,93.07196309,1.0,2023-04-25 19:15:25.449219+00:00,48.09,15,,,,
0x46e2d04f,0xc401c980,6,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x9390fA86,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0xd579602b,0x97589cd1,7,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x0035cC37,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0x0ab3b068,0xcf3165f4,10,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x7f3eb18E,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0x2648f105,0xdd9b885d,13,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x75D923fB,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0x525d3c84,0xe6424ab2,22,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x8110d1D0,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0x5ae37490,0x72b0d6a6,17,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x7e1F8358,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0x26a94e8d,0xe8249a10,14,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x9b55D80A,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0xf841c880,0x23387567,9,0x9E669c0A,0x6B175474,0xcd0d4cdb,0xbbD107D7,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0x7f0e8c5d,0xec026845,16,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x45b79C6b,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0x20f5483e,0x64a30a4b,19,0x9E669c0A,0x6B175474,0xcd0d4cdb,0xA26d6AEB,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0x6613693f,0x8d6f0c7b,3,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x808DB7C1,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0xa8308afc,0x10b3f00e,28,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x69e001B7,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0x6c4e92e5,0xa9bdf738,29,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x5041A1C1,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0x24badc10,0xf1f4942d,24,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x4f8c531d,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0x7bdd37e8,0x5351510d,2,0x9E669c0A,0x6B175474,0xcd0d4cdb,0x9bcF35BD,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0xddf836fc,0x4cd41869,25,0x9E669c0A,0x6B175474,0xcd0d4cdb,0xBEC643BD,6e+18,6.00598686,1.0,2023-04-25 12:39:48.973839+00:00,37.04,15,,,,
0xe63c8b11,0xdd9b885d,13,0x9E669c0A,0x6B175474,0xdbeb3b98,0x75D923fB,2.5e+19,24.9967175,1.0,2023-04-26 20:32:17.875580+00:00,16.27,15,,,,
0x1092ae19,0xa9bdf738,29,0x9E669c0A,0x6B175474,0x839395e2,0x5041A1C1,3e+19,29.9519814,1.5,2023-04-26 15:55:53.752619+00:00,52.94,15,73838.66148707856,1.0,,
0xaf671999,0x97589cd1,7,0x9E669c0A,0x6B175474,0x839395e2,0x0035cC37,1e+20,99.839938,1.5,2023-04-26 15:55:53.752619+00:00,52.94,15,73838.66148707856,1.0,,
0xaedf9bda,0xe6424ab2,22,0x9E669c0A,0x6B175474,0x839395e2,0x8110d1D0,2e+20,199.679876,1.5,2023-04-26 15:55:53.752619+00:00,52.94,15,73838.66148707856,1.0,,
0x882f158e,0xe8249a10,14,0x9E669c0A,0x6B175474,0x839395e2,0x9b55D80A,1.5e+19,14.9759907,1.5,2023-04-26 15:55:53.752619+00:00,52.94,15,73838.66148707856,1.0,,
0x64882a8c,0x4cd41869,25,0x9E669c0A,0x6B175474,0x839395e2,0xBEC643BD,1e+19,9.9839938,1.5,2023-04-26 15:55:53.752619+00:00,52.94,15,73838.66148707856,1.0,,
0xf0e68dc0,0xc401c980,6,0x9E669c0A,0x6B175474,0x839395e2,0x9390fA86,1e+19,9.9839938,1.5,2023-04-26 15:55:53.752619+00:00,52.94,15,73838.66148707856,1.0,,
0x0ddd01db,0x5351510d,2,0x9E669c0A,0x6B175474,0x839395e2,0x9bcF35BD,1e+19,9.9839938,1.5,2023-04-26 15:55:53.752619+00:00,52.94,15,73838.66148707856,1.0,,
0x02d04ccd,0x72b0d6a6,17,0x9E669c0A,0x6B175474,0x839395e2,0x7e1F8358,1e+19,9.9839938,1.5,2023-04-26 15:55:53.752619+00:00,52.94,15,73838.66148707856,1.0,,
